"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1754143082277429255","Sun Feb 04 14:01:15 +0000 2024","28853","Kok ada ya capres ga paham masalah mendasar dari stunting kek gitu ","1754143082277429255","","","in","","510","515","4334","https://x.com/idextratime/status/1754143082277429255","1222927522033094656","idextratime"
"1734019757010198948","Mon Dec 11 01:18:21 +0000 2023","217","Stunting bukan awal dari masalah tetapi ujungnya. Pencegahannya tak cukup hanya dengan menyasar satu masalah pemenuhan gizi. Mulai dari ketahanan pangan hingga sanitasi jadi hal yang harus dipenuhi baik oleh pemerintah pusat maupun daerah. #UtasMild #Stunting https://t.co/8AZFixNxcy","1734019757010198948","https://pbs.twimg.com/media/GBB5rekaoAAUz8n.jpg","","in","Indonesia","7","9","80","https://x.com/TirtoID/status/1734019757010198948","4187275698","TirtoID"
"1763738130270814383","Sat Mar 02 01:28:33 +0000 2024","2258","masalah rawan gizi en kemiskinan ekstrim dijawab dgn politik makan siang gratis itu pendekatan orang kaya yg jd pejabat tp pikirannya miskin ekstrim serta otaknya stunting lalu dilegitimasi chef yg hanya tau makanan sbg makanan saja tuna kaitan gizi makanan dgn politik pangan","1763738130270814383","","","in","Depok, Indonesia","16","36","948","https://x.com/JJRizal/status/1763738130270814383","176339657","JJRizal"
"1789542644395450369","Sun May 12 06:26:29 +0000 2024","3024","Negara bereskan parkir liar aja ga bisa gimana mau diandalkan bereskan masalah stunting pengangguran dan harga BBM","1789542644395450369","","","in","Strategis. Mobil Masuk","54","89","1584","https://x.com/emerson_yuntho/status/1789542644395450369","155928815","emerson_yuntho"
"1783458106598650238","Thu Apr 25 11:28:42 +0000 2024","9","Presiden Jokowi ngebahas soal masalah stunting jumlah dokter yang kurang sampe tingginya animo masyarakat yang berobat ke luar negeri. So what's should we do nih Pak? https://t.co/xJMhIJM8qN","1783458106598650238","https://pbs.twimg.com/media/GMAdsU6bUAALwGH.jpg","","in","","1","4","0","https://x.com/catchmeupid/status/1783458106598650238","1162545299614662656","catchmeupid"
"1784427130451071229","Sun Apr 28 03:39:15 +0000 2024","213"," ternyata minum tablet tambah darah sedari remaja aplg klo pas lg mens itu penting u/ investasi jangka panjang klo pas hamil &amp; melahirkan nanti bs mencegah bayi lahir dgn masalah gizi stunting yg belum tau ayo mulai aware &amp; jgn lupa konsul tetep konsul ke AHLI terkait yaa","1784427130451071229","","","in","Indonesia","4","4","21","https://x.com/tanyakanrl/status/1784427130451071229","1331650559518990336","tanyakanrl"
"1768877504276898018","Sat Mar 16 05:50:35 +0000 2024","571","Masalah terbesar di kekurangan asupan protein. Yang dikerjakan malah minyak goreng. Yang terjadi bisa begini : 1. Angka stunting gak turun-turun. 2. Angka gangguan kardiovaskuler meroket. Belum lagi karsinogen dari minyak yang dipakai berkali-kali. Astaghfirullah. Naudzubillah.","1768877504276898018","","","in","Menteng, Indonesia","5","14","176","https://x.com/dr_koko28/status/1768877504276898018","1052703629528854530","dr_koko28"
"1787803849283313910","Tue May 07 11:17:08 +0000 2024","20","Temui Para Dokter Bupati Purbalingga Dyah Hayuning Pratiwi Ajak Tingkatkan Layanan Kesehatan. Temui para dokter Bupati Purbalingga Dyah Hayuning Pratiwi ingatkan PR bersama Kabupaten Purbalingga di bidang kesehatan yakni masalah stunting dan angka kematian ibu/bayi https://t.co/kCUDqyMfoE","1787803849283313910","https://pbs.twimg.com/media/GM-OHpbbkAAnO3i.jpg","","in","Indonesia","0","2","3","https://x.com/PDI_Perjuangan/status/1787803849283313910","153407983","PDI_Perjuangan"
"1787299092575707202","Mon May 06 01:51:24 +0000 2024","0","Keren sih ini. Masalah stunting tuh ga se gampang kasih makanan ke anak2. bantuan makanan bergizi ke org2. Iya sih bantu tp apa iya masyarakat suruh mengandalkan pemerintah terus? Di desa ku persis kyk yg dibilang dokter. Dikasih kacang ijo daging per bulan tp yg makan orang tua https://t.co/iR2YnoLbwF","1787299092575707202","https://pbs.twimg.com/ext_tw_video_thumb/1787299019959754752/pu/img/9pPMQpyMiJm7Jmph.jpg","","in","lagi disini","0","1","0","https://x.com/pakeksR/status/1787299092575707202","1415298698616078340","pakeksR"
"1790218274065834330","Tue May 14 03:11:11 +0000 2024","2","Bripka Andi Bhabinkamtibmas Polsek Sukahaji Polres Majalengka Polda Jabar turut berperan aktif dalam menangani masalah stunting di wilayahnya. Pada Selasa (14/5/2024) Bripka Andi menyalurkan bantuan asupan makanan tambahan untuk anak-anak yang mengalami stunting https://t.co/jmHgS1oduj","1790218274065834330","https://pbs.twimg.com/media/GNgiBcBb0AAChnt.jpg","","in","","0","0","0","https://x.com/HumasPolresMaj1/status/1790218274065834330","1206735428407050240","HumasPolresMaj1"
"1790594333818900939","Wed May 15 04:05:31 +0000 2024","1","Sebagai bentuk kepedulian perhatian dan dukungan dalam penanganan masalah stunting Polsek Panyingkiran Polres Majalengka Polda Jabar memberikan bantuan berupa makanan dan minuman bergizi kepada anak-anak yang terindikasi mengalami stunting di wilayah Kecamatan Panyingkiran https://t.co/VQ6kqOLOP1","1790594333818900939","https://pbs.twimg.com/media/GNl4DN3aIAAAub-.jpg","","in","","0","0","0","https://x.com/HumasPolresMaj1/status/1790594333818900939","1206735428407050240","HumasPolresMaj1"
"1780550948135559429","Wed Apr 17 10:56:41 +0000 2024","8","Peningkatan SDM dapat mengatasi masalah stunting. #AtasiStuntingDiPapua https://t.co/EbBY0vQDRk","1780550948135559429","https://pbs.twimg.com/media/GLXJporbwAA8tx5.jpg","","in","Makassar, Indonesia","1","1","8","https://x.com/_abproject/status/1780550948135559429","1317427230687907840","_abproject"
"1777223474093985854","Mon Apr 08 06:34:30 +0000 2024","0","Babinsa Serka M Zen melakukan pemantauan serta sosialisasi terkait masalah Stunting https://t.co/0MZPFE2weX https://t.co/blBbCvuxeq","1777223474093985854","https://pbs.twimg.com/media/GKn3OxwaQAEQpnG.jpg","","in","","0","0","0","https://x.com/Kodim0416bute16/status/1777223474093985854","1601821350678519808","Kodim0416bute16"
"1792745673697436072","Tue May 21 02:34:10 +0000 2024","1","Dalam upaya menangani masalah stunting Bhabinkamtibmas Brigadir Rudianto S.H dari Polsek Sukahaji Polres Majalengka Polda Jabar memberikan bantuan berupa makanan dan minuman bergizi kepada anak-anak yang terindikasi mengalami stunting di wilayah Desa Palabuan. https://t.co/8V5asJkZ7f","1792745673697436072","https://pbs.twimg.com/media/GOEcr2baMAAhztj.jpg","","in","","0","0","0","https://x.com/HumasPolresMaj1/status/1792745673697436072","1206735428407050240","HumasPolresMaj1"
"1769355003435909500","Sun Mar 17 13:28:00 +0000 2024","0","Gentalk : Remaja Agen Perubahan Cegah Stunting Halo teman-teman Genrangers dan Keluarga Jakarta! Stunting masih menjadi masalah kesehatan yang serius di masyarakat sebab terhambatnya perkembangan otak anak - https://t.co/RzkRzs1aik","1769355003435909500","https://pbs.twimg.com/ext_tw_video_thumb/1769354855012089856/pu/img/DLS9_LUzUW3R02o7.jpg","","in","","0","1","0","https://x.com/dppappdki/status/1769355003435909500","4891065976","dppappdki"
"1765177534814286127","Wed Mar 06 00:48:14 +0000 2024","2","masalah stunting gizi buruk anemia solusinya ga sesimpel ngasih makan siang gratis https://t.co/NA3fzo5mLG","1765177534814286127","https://pbs.twimg.com/media/GH8rnISbIAAh-7t.jpg","","in","saturn","0","0","0","https://x.com/deadbae/status/1765177534814286127","1094242893525438466","deadbae"
"1768412195795399163","Thu Mar 14 23:01:37 +0000 2024","1","Babinsa Koramil 1410-02/Eremerasa Serma Muh Anwar aktif terlibat dalam mendampingi kegiatan posyandu yang bertujuan untuk mengatasi masalah stunting di kalangan balita bertempat di Kelurahan Pallantikang Kecamatan Bantaeng Kabupaten Bantaeng Kamis (14/03/2024). https://t.co/K7fws5M2NA","1768412195795399163","https://pbs.twimg.com/media/GIqpgDfbIAEdyp6.jpg","","in","","0","0","0","https://x.com/Kodim1410/status/1768412195795399163","1221646907824427008","Kodim1410"
