"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1772928236475015647","Wed Mar 27 10:06:45 +0000 2024","3322","Kepala BKKBN Hasto Wardoyo mengingatkan batas usia maksimal bagi perempuan untuk hamil adalah 35 tahun. Hal itu untuk mencegah anak lahir stunting. Hasto menjelaskan bahwa di usia tersebut manusia telah proses penuaan. Adapun usia menikah ideal menurut BKKBN yakni laki-laki 25 https://t.co/mDb3D96uo0","1772928236475015647","https://pbs.twimg.com/media/GJq0twRbwAABo-c.jpg","","in","Jakarta Capital Region","2333","750","759","https://x.com/asumsico/status/1772928236475015647","829366551446818816","asumsico"
"1717761382094180513","Fri Oct 27 04:33:22 +0000 2023","16352","Dapat bantuan dr desa fess karena lingkar lengan kecil mana tiap hari 2 minggu sekali makanan mentah telor sekilo sama ayam kalau nggak ikan. Program pemerintah mencegah stunting. https://t.co/IhiV3iab9G","1717761382094180513","https://pbs.twimg.com/media/F9a231rbYAAJCNr.jpg","","in","Pengaduan","272","382","482","https://x.com/FOODFESS2/status/1717761382094180513","939277717966544896","FOODFESS2"
"1783484620341936128","Thu Apr 25 13:14:03 +0000 2024","333","Ni orang paham makro dan mikronutrient ga sih? Susu2 yg dijual di supermarket itu padahal tinggi kandungan gula. Terus yg dibahas diatas mencegah stunting dengan makan siang gratis untuk anak sekolah . Di vidio itu SMP YA TELAT PENCEGAHANNYA. Ah tau ah capek bebel bgt","1783484620341936128","","","in","bumi allah","1","8","106","https://x.com/apralzolam/status/1783484620341936128","1273518088521203714","apralzolam"
"1783367048737022401","Thu Apr 25 05:26:52 +0000 2024","1182","1. Mengklaim makan siang gratis buat mencegah stunting itu pembodohan 2. Solusi stunting harus menyeluruh. Bangun sistem pangan aksesibel &amp; berkeadilan pengentasan kemiskinan jaminan gizi untuk ibu hamil dan balita lingkungan hidup sehat etc Buzzer kayak dia mana paham","1783367048737022401","","","in","","4","7","446","https://x.com/Mythicalforest/status/1783367048737022401","1206518264811020289","Mythicalforest"
"1787761784671400052","Tue May 07 08:29:59 +0000 2024","60","Puluhan balita di Majene Sulawesi Barat mengalami keracunan setelah mengonsumsi paket Pemberian Makanan Tambahan (PMT) untuk mencegah stunting. https://t.co/yGAgbjnD5Z","1787761784671400052","https://pbs.twimg.com/ext_tw_video_thumb/1787761734725554176/pu/img/1GihTxMLcij5Uvfz.jpg","","in","Istana Presiden","2","15","36","https://x.com/Bams_4GP/status/1787761784671400052","1376024371949498371","Bams_4GP"
"1783384657909907509","Thu Apr 25 06:36:50 +0000 2024","453","Kalo mencegah stunting itu bukan dari anak² Segede gini mba tapi sejak dimulai dari kandungan kalo yg udah Segede gini judulnya mencegah kelaparan dukung boleh² aja sih tapi bodoh ya jangan lhoo ","1783384657909907509","","","in","","2","57","95","https://x.com/vaniepink/status/1783384657909907509","1016528521705881600","vaniepink"
"1782988498146107691","Wed Apr 24 04:22:38 +0000 2024","2963","PROGRAM MAKAN SIANG GRATIS Yg banyak di olok2 oleh kaum gagal paham ternyata banyak manfaat yg di rasakan oleh anak2 sekolah di daerah2 tertinggal Ini program utk mencegah stunting dan mempersiapkan generasi emas Jadi hanya utk anak sekolah bukan bwt org tua bangka https://t.co/uDX7q6bs2p","1782988498146107691","https://pbs.twimg.com/ext_tw_video_thumb/1782988357741776896/pu/img/19Yta4I3gmhWi6x2.jpg","","in","Hokota-shi, Ibaraki","778","874","366","https://x.com/xquitavee/status/1782988498146107691","1604408934525464576","xquitavee"
"1784427130451071229","Sun Apr 28 03:39:15 +0000 2024","213"," ternyata minum tablet tambah darah sedari remaja aplg klo pas lg mens itu penting u/ investasi jangka panjang klo pas hamil &amp; melahirkan nanti bs mencegah bayi lahir dgn masalah gizi stunting yg belum tau ayo mulai aware &amp; jgn lupa konsul tetep konsul ke AHLI terkait yaa","1784427130451071229","","","in","Indonesia","4","4","21","https://x.com/tanyakanrl/status/1784427130451071229","1331650559518990336","tanyakanrl"
"1783307009577636069","Thu Apr 25 01:28:17 +0000 2024","53","Inimah mencegah lapar. Bukan mencegah stunting","1783307009577636069","","","in","NIA, IDN","0","0","20","https://x.com/Naizarusama/status/1783307009577636069","131637345","Naizarusama"
"1758773582367506914","Sat Feb 17 08:41:13 +0000 2024","8110","Satu lagi Buat bajer2 Oon Program makan gratis itu buat anak sekolah balita dan ibu hamil dgn tujuan utk mencegah stunting Bukan buat org2 tua bangka kek lo ‼️ Kerjaaa maka nyaa jgn ngebujer muluu ","1758773582367506914","","","in","Hokota-shi, Ibaraki","262","894","1265","https://x.com/xquitavee/status/1758773582367506914","1604408934525464576","xquitavee"
